,V1,V2,ID,Gender,Population,Geographic.origin,Geographic.area,region,distance,latitude,longtitude
HGDP00637,-69.8358634435346,70.6034760516478,HGDP00637,F,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00648,-69.2671760687358,81.8393701877539,HGDP00648,M,Bedouin,Israel (Negev),Israel,Middle East,2844.946131,31,35
HGDP00572,-62.7064432660029,93.2013434709469,HGDP00572,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00584,-60.1366276832884,93.1943398943043,HGDP00584,F,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00598,-61.9700347968195,93.2530816114148,HGDP00598,M,Druze,Israel (Carmel),Israel,Middle East,2887.253661,32,35
HGDP00678,-67.1747630629353,79.8425327368397,HGDP00678,M,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00690,-65.15879666619,83.8197259093332,HGDP00690,F,Palestinian,Israel (Central),Israel,Middle East,2887.253661,32,35
HGDP00466,-197.843329070391,-201.771656640929,HGDP00466,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00454,-196.942271536229,-197.626850318939,HGDP00454,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP01086,-195.566188911356,-194.509427687621,HGDP01086,M,Biaka Pygmies,Central African Republic,Central Africa,Africa,2384.859098,4,17
HGDP00462,-197.870121486141,-200.101356486658,HGDP00462,M,Mbuti Pygmies,Democratic Republic of Congo,Central Africa,Africa,1335.495772,1,29
HGDP00915,-180.55365139849,-168.195565223126,HGDP00915,F,Mandenka,Senegal,Central Africa,Africa,5469.912857,12,-12
